ConceptID,ConceptName,DependencyList,CategoryID,CategoryLabel
85,Common-base amplifier,73|77,8,Amplifiers and Analog Circuits
86,Common-collector amplifier,73|77,8,Amplifiers and Analog Circuits
87,Darlington pair,73|77,8,Amplifiers and Analog Circuits
88,Cascaded amplifiers,77,8,Amplifiers and Analog Circuits
89,Differential pairs,73|55,8,Amplifiers and Analog Circuits
90,Coupling capacitors,10,2,Passive Components
91,Decoupling capacitors,10,2,Passive Components
92,Filters,10|11|32,7,Signal Processing and Filters
93,Low-pass filters,92,7,Signal Processing and Filters
94,High-pass filters,92,7,Signal Processing and Filters
95,Band-pass filters,92,7,Signal Processing and Filters
96,Band-stop filters,92,7,Signal Processing and Filters
97,Active filters,92|54,7,Signal Processing and Filters
98,Passive filters,92,7,Signal Processing and Filters
99,Voltage regulators,65|66|73,9,Power Electronics
100,Pulse-width modulation,76,7,Signal Processing and Filters
101,Resistivity,115,1,Fundamental Concepts
102,Time,116,1,Fundamental Concepts
103,Capacitors,10|7,2,Passive Components
104,Magnetic fields,3,1,Fundamental Concepts
105,Conservation of energy,6,1,Fundamental Concepts
106,Linearity,117,4,Circuit Analysis Techniques
107,Complex numbers,118,1,Fundamental Concepts
108,Frequency response,32|92,5,AC Circuit Concepts
109,Control systems,53|52,10,Control Systems and Stability
110,Semiconductor physics,111,3,Active Components and Semiconductor Devices
111,Solid-state physics,119,1,Fundamental Concepts
112,Elementary charge,120,1,Fundamental Concepts
113,Conservation laws,119,1,Fundamental Concepts
114,P-N junctions,110,3,Active Components and Semiconductor Devices
115,Material properties,119,1,Fundamental Concepts
116,Fundamental concepts,,1,Fundamental Concepts
117,Mathematical principles,118,1,Fundamental Concepts
118,Mathematics,116,1,Fundamental Concepts
119,Physics,116,1,Fundamental Concepts
120,Atomic structure,119,1,Fundamental Concepts
121,MOSFET,75,3,Active Components and Semiconductor Devices
