115,Service-Oriented Architecture,113,9
116,Enterprise Service Bus,115,9
117,Middleware,115,9
118,Data Lakes,24,3
119,Data Lakehouse,24|22,3
120,Data Swamps,24,3
121,Data Silos,25,5
122,Data Integration Tools,25,9
123,Data Replication,25,9
124,Data Synchronization,25,9
125,Data Indexing,16,9
126,Data Partitioning,16,9
127,Data Sharding,16,9
128,High Availability Systems,6,3
129,Disaster Recovery,128,3
130,Backup and Restore Procedures,128,3
131,Data Compression,6,3
132,Data Decompression,131,3
133,Data Security Protocols,41,6
134,Identity and Access Management,41,6
135,Role-Based Access Control,134,6
136,Authentication Mechanisms,134,6
137,Authorization Processes,134,6
138,Data Breach Response,41,6
139,Incident Management,138,6
140,Security Information and Event Management,138,6
141,Intrusion Detection Systems,138,6
142,Firewall Protection,138,6
143,Encryption Standards,53,6
144,Data Privacy Impact Assessment,42,6
145,Privacy by Design,42,6
146,Consent Management,42,6
147,Data Subject Rights,42,6
148,Data Loss Prevention,41,6
149,Data Protection Officer,42,6
150,Data Compliance Regulations,43,6
151,General Data Protection Regulation,150,6
152,Health Insurance Portability and Accountability Act,150,6
153,Data Auditing,43,6
154,Data Controls,43,6
155,Data Risk Management,43,6
156,Data Compliance Audits,153,6
157,Data Supply Chain,25,10
158,Data Ecosystem,33,10
159,Data Fabric,25,10
160,Data Mesh,25,10
161,Event-Driven Architecture,115,9
162,Data Monetization,33,10
163,Data Marketplace,162,10
164,Data Brokerage,163,10
165,Data Asset Valuation,162,10
166,Data Ownership Models,47,5
167,Data Licensing,47,5
168,Open Data Initiatives,33,10
169,Data Philanthropy,168,10
170,Data for Social Good,168,10
171,Data Legislation,150,6
172,Data Sovereignty,171,6
173,Data Localization,171,6
174,Data Governance Maturity Models,32,5
175,Data Quality Assessment,28,5
176,Data Governance Tools,32,5
177,Data Architecture Tools,34,2
178,Enterprise Data Modeling Tools,13,2
179,Data Management Platforms,33,5
180,Data Competency,33,10
181,Data Democratization,64,10
182,Data Literacy Programs,64,10
183,Data Competency Centers,180,10
184,Data Stewardship Committees,46,5
185,Data Ethics Committees,84,10
186,Data Culture Change Management,65,10
187,Data Literacy Training,64,10
188,Data Competency Frameworks,180,10
189,Data Strategy Development,59,10
190,Data Policy Development,45,5
191,Data Standard Development,44,5
192,Data Classification Schemes,51,5
193,Data Taxonomy,51,2
194,Data Ontology,51,2
195,Semantic Data Modeling,13,2
196,Conceptual Data Model,195,2
197,Logical Data Model,195,2
198,Physical Data Model,195,2
199,Entity-Relationship Modeling,195,2
200,Unified Modeling Language,195,2
201,Mathematics,,1
202,Document Databases,18,8
203,Key-Value Stores,18,8
204,Column-Family Stores,18,8
205,Graph Databases,18,8
206,CAP Theorem,18,8
207,Eventual Consistency,205,8
208,BASE Properties,205,8
209,Sharding,18|125,8
210,Replication in NoSQL,18|123,8
211,NoSQL Query Languages,18|113,8
212,Indexing in NoSQL,18|125,8
213,NoSQL Data Models,18,8
214,Polyglot Persistence,18,8
215,NoSQL Scalability,18|125,8
216,NoSQL Use Cases,18,8
217,Consistency Models,205,8
218,Data Partitioning in NoSQL,208,8
219,NoSQL Performance Optimization,214,8
220,NoSQL vs Relational Databases,17|18,8
